date,description,amount
2024-01-01,Salary Credit,45000
2024-01-02,Rent Payment,-12000
2024-01-03,Big Bazaar Groceries,-2340
2024-01-04,Zomato Food Order,-450
2024-01-05,Electricity Bill,-1200
2024-01-06,Swiggy Dinner,-380
2024-01-07,Petrol Pump,-1500
2024-01-08,Amazon Shopping,-2999
2024-01-09,Netflix Subscription,-649
2024-01-10,Mobile Recharge,-299
2024-01-11,DMart Groceries,-1870
2024-01-12,Auto Rickshaw,-120
2024-01-13,Gym Membership,-800
2024-01-14,Cafe Coffee Day,-310
2024-01-15,Freelance Payment,8000
2024-01-16,Flipkart Purchase,-1599
2024-01-17,Water Bill,-350
2024-01-18,Uber Ride,-280
2024-01-19,Medical Pharmacy,-560
2024-01-20,Zepto Groceries,-980
2024-01-21,LIC Premium,-2500
2024-01-22,Hotstar Subscription,-299
2024-01-23,Restaurant Dinner,-1200
2024-01-24,Stationery Shop,-450
2024-01-25,Salary Bonus,5000
2024-01-26,Ola Ride,-220
2024-01-27,Dairy Products,-340
2024-01-28,Internet Bill,-699
2024-01-29,Movie Tickets,-600
2024-01-30,Vegetable Market,-520
2024-01-31,ATM Withdrawal,-2000
2024-02-01,Salary Credit,45000
2024-02-02,Rent Payment,-12000
2024-02-03,Big Bazaar Groceries,-2100
2024-02-04,Zomato Food Order,-520
2024-02-05,Electricity Bill,-1100
2024-02-06,Swiggy Lunch,-290
2024-02-07,Petrol Pump,-1500
2024-02-08,Myntra Clothes,-3499
2024-02-09,Netflix Subscription,-649
2024-02-10,Mobile Recharge,-299
2024-02-11,Spencer's Groceries,-2200
2024-02-12,Metro Card Recharge,-500
2024-02-13,Yoga Class,-600
2024-02-14,Valentine Dinner,-2500
2024-02-15,Freelance Payment,6000
2024-02-16,Amazon Shopping,-1899
2024-02-17,Gas Cylinder,-950
2024-02-18,Rapido Ride,-180
2024-02-19,Doctor Consultation,-500
2024-02-20,Blinkit Groceries,-760
2024-02-21,SIP Investment,-3000
2024-02-22,Prime Video,-299
2024-02-23,Birthday Party,-1800
2024-02-24,Book Store,-650
2024-02-25,Interest Income,1200
2024-02-26,Ola Ride,-350
2024-02-27,Milk and Dairy,-420
2024-02-28,Internet Bill,-699
2024-03-01,Salary Credit,45000
2024-03-02,Rent Payment,-12000
2024-03-03,Reliance Fresh Groceries,-1950
2024-03-04,Zomato Food Order,-480
2024-03-05,Electricity Bill,-1350
2024-03-06,Swiggy Dinner,-410
2024-03-07,Petrol Pump,-1500
2024-03-08,Ajio Clothes,-2799
2024-03-09,Netflix Subscription,-649
2024-03-10,Mobile Recharge,-299
2024-03-11,DMart Groceries,-2050
2024-03-12,Auto Rickshaw,-150
2024-03-13,Cricket Club Fee,-500
2024-03-14,Tea Stall,-80
2024-03-15,Part Time Work,4500
2024-03-16,Flipkart Electronics,-4999
2024-03-17,Water Bill,-350
2024-03-18,Uber Ride,-320
2024-03-19,Chemist Shop,-430
2024-03-20,Zepto Grocery,-890
2024-03-21,Health Insurance,-2000
2024-03-22,Spotify Premium,-119
2024-03-23,Family Dinner,-1600
2024-03-24,Printing Shop,-200
2024-03-25,Dividend Income,800
2024-03-26,Rapido Ride,-160
2024-03-27,Paneer and Dairy,-380
2024-03-28,Internet Bill,-699
2024-03-29,Cinema Hall,-750
2024-03-30,Sabzi Mandi,-490
2024-03-31,ATM Withdrawal,-3000
2024-04-01,Salary Credit,47000
2024-04-02,Rent Payment,-12000
2024-04-03,Big Bazaar Groceries,-2400
2024-04-04,Zomato Food Order,-560
2024-04-05,Electricity Bill,-1450
2024-04-06,Swiggy Breakfast,-220
2024-04-07,Petrol Pump,-1800
2024-04-08,Amazon Prime Renewal,-1499
2024-04-09,Netflix Subscription,-649
2024-04-10,Mobile Recharge,-299
2024-04-11,More Groceries,-1780
2024-04-12,Metro Recharge,-600
2024-04-13,Swimming Pool Fee,-700
2024-04-14,Fast Food,-350
2024-04-15,Freelance Payment,9000
2024-04-16,Nykaa Cosmetics,-1299
2024-04-17,Gas Cylinder,-950
2024-04-18,Ola Ride,-270
2024-04-19,Eye Checkup,-800
2024-04-20,Blinkit Grocery,-1100
2024-04-21,Mutual Fund SIP,-5000
2024-04-22,Disney Hotstar,-299
2024-04-23,Anniversary Dinner,-3000
2024-04-24,Newspaper Subscription,-150
2024-04-25,Rental Income,6000
2024-04-26,Uber Ride,-290
2024-04-27,Curd and Milk,-360
2024-04-28,Internet Bill,-699
2024-04-29,Movie + Snacks,-900
2024-04-30,Local Market,-670
